af	Single quotation marks
am	Double quotation marks
ar	Double quotation marks
as	Single quotation marks
az	Double quotation marks
be	Double quotation marks
bg	Double quotation marks
bn	Single quotation marks
bn_rom	Single quotation marks
br	Single quotation marks
bs	Double quotation marks
ca	Single quotation marks
cs	Double quotation marks
cy	Single quotation marks
da	Double quotation marks
de	Double quotation marks
el	Guillemets
en	Single quotation marks
eo	Single quotation marks
es	Double quotation marks
et	Double quotation marks
eu	Double quotation marks
fa	Guillemets
ff	Guillemets
fi	Double quotation marks
fr	Single quotation marks
fy	Single quotation marks
ga	Single quotation marks
gd	Single quotation marks
gl	Double quotation marks
gn	Single quotation marks
gu	Single quotation marks
ha	Single quotation marks
he	Double quotation marks
hi	Single quotation marks
hi_rom	Double quotation marks
hr	Double quotation marks
ht	Single quotation marks
hu	Double quotation marks
hy	Guillemets
id	Double quotation marks
ig	Single quotation marks
is	Double quotation marks
it	Single quotation marks
ja	Corner brackets
jv	Double quotation marks
ka	Double quotation marks
kk	Guillemets
km	Guillemets
kn	Single quotation marks
no	Double quotation marks
ku	Double quotation marks
ky	Double quotation marks
la	Double quotation marks
lg	Single quotation marks
li	Single quotation marks
ln	Double quotation marks
lo	Double quotation marks
lt	Lower-upper double quotation marks
lv	Double quotation marks
mg	Single quotation marks
mk	Lower-upper double quotation marks
ml	Single quotation marks
mn	Double quotation marks
mr	Single quotation marks
ms	Double quotation marks
my	Double quotation marks
my_zaw	Double quotation marks
ne	Single quotation marks
nl	Single quotation marks
no	Double quotation marks
ns	Double quotation marks
om	Single quotation marks
or	Single quotation marks
pa	Single quotation marks
pl	Double quotation marks
ps	Guillemets
pt	Double quotation marks
qu	Single quotation marks
rm	Single quotation marks
ro	Double quotation marks
ru	Guillemets
sa	Double quotation marks
si	Double quotation marks
sc	Single quotation marks
sd	Double quotation marks
sk	Double quotation marks
sl	Double quotation marks
so	Single quotation marks
sq	Double quotation marks
sr	Lower-upper double quotation marks
ss	Double quotation marks
su	Double quotation marks
sv	Double quotation marks
sw	Double quotation marks
ta	Double quotation marks
ta_rom	Double quotation marks
te	Single quotation marks
te_rom	Single quotation marks
th	Double quotation marks
tl	Double quotation marks
tn	Single quotation marks
tr	Single quotation marks
ug	Guillemets
uk	Guillemets
ur	Single quotation marks
ur_rom	Single quotation marks
uz	Single quotation marks
vi	Double quotation marks
wo	Guillemets
xh	Double quotation marks
yi	Single quotation marks
yo	Double quotation marks
zh_Hans	Double quotation marks
zh_Hant	Corner brackets
zu	Double quotation marks
